Otro.13,count
,515
"Sin servicio, no se notufico y todo pago.",1
Poliza exequial,1
Mala atencion de la funcionaria YERALDINE CEPEDA,1
Me cortaron el servicio yo lo pague en la mañana y me lo cortaron en la tarde,1
ME SUSPENDIERON EL SERVICIO SOLICITO LA REACTIVACION,1
SE ESTAN FILTRANDO LAS AGUAS RESIDUALES A LOS LOCALES COMERCIALES Y VIVIENDAS Y NO HAN ECHO VISITA PARA DAR SOLUCION A DICHO PROBLEMA DESDE EL MES DE JUNIO #  DE ORDEN 2001415179 Y DEL MES DE OCTUBRE # DE ORDEN 2001443762,1
SE ANEXA REGISTRO WHATSAP DEL CUAL FUE ENVIADO DE LA ULTIMA INSPECCION AL NUMERO 3174700960 DONDE SE DA RESPUESTA MEDIDOR SIN FUGAS OSEA TODO ESTA AL DIA,1
SE ACERCARON ARREGLAR LA RUPTURA DE LOS TUBOS PERO NO DEJARON EL ANDEN COMO ESTABA DEJARON UN REGUERO DE ESCOMBROS,1
SOLO ME ESTA LLEGANDO AGUA EN EL PRIMER PISO EN EL SEGUNDO NO TENGO EL SERVICIO SOLICITO REVISION POR PARTE DE LA EMPRESA CON URGENCIA,1
SOLICITAR LA RECOBEXION DEL SERVICIO,1
RECONEXION DEL SERVICIO,1
Un recibo que no es mio me llega a la propiedad,1
VENGO HACER UNA RECLAMACION DEL COBRO DE UNAS FACTURAS DE UNOS PREDIOS QUE SE ENCUENTRAN DESOCUPADOS PERO ME ESTAN COBRANDO UN MUNDO DE DINERO EN ASEO DONDE EL CONSUMO ESTA EN 0 ,1
SOLICITE INFORMACION DE COMO HACER UN CAMBIO DE SERVICIO PERO EL FUNCIONARIO ME DIJO QUE NO SABIA,1
SE ESTA DEVOLVIENDO EL AGUA PICHA A LAS CASAS SOLICITO PRONTA VISITA Y SEGUIMIENTO EN EL SECTOR YA QUE ESOS MALOS OLORES AFECTAN LA SALUD DE LOS HABITANTES,1
NECESITO CORTAR EL SERVICIO A MI NOMBRE,1
NO ESTOY CON EL TRATO TAN TERRIBLE DE LOS FUNCIONARIOS DE VANTI,1
HACER UN CANBIO DE CREDITO,1
UNO DE LOS INQUILINOS COLOCO DUCHA A GAS Y POR CULPA DE EL NOS QUEDAMOS SIN GAS EN 12 APARTAMENTOS,1
